id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
355269,-7.92,16-Mar,22.19,30.12,23,0,0,48*,,688,0,25,2012-2022
595783,-7.22,16-Apr,3.5,10.72,0,0,0,4,,7,0,11,2018-2021
539511,,,12.5,,3,,0,36*,,100,0,,2016-2021
823509,-20.52,11-Jan,31.47,52,37,0,2,108,,1385,2,2,2017-2023
526441,-8.13,23-Apr,12.41,20.55,28,0,0,38,,422,0,80,2019-2023
303423,,,22.92,,32,,0,83,,1857,0,,2015-2023
595921,-8.76,25-Apr,20.18,28.95,11,0,0,72*,,444,0,20,2021-2023
1099379,-8.81,16-Mar,19.2,28.02,19,0,0,89*,,826,0,36,2019-2023
961401,,,6.33,,2,,0,15,,19,0,,2023-2023
348034,-2.58,20-Apr,20.04,22.62,55,0,0,58*,,842,0,81,2010-2023
303508,-16.98,20-Mar,11.95,28.93,9,0,0,30,,275,0,16,2019-2022
379144,-18.33,17-Mar,1,19.33,0,0,0,1,,1,0,3,2022-2023
571707,-0.88,19-Mar,15,15.88,1,0,0,26*,,45,0,9,2015-2023
928067,-15.93,23-Apr,7.81,23.75,11,0,0,15*,,86,0,62,2016-2022
417381,-8.25,7-Feb,12.91,21.17,13,0,0,36,,155,0,23,2014-2022
348059,-22.11,30-Apr,13.4,35.51,9,0,0,32,,201,0,33,2017-2023
1112535,,,6.75,,10,,0,22,,54,2,,2021-2023
1005257,-17.63,9-Mar,10.2,27.84,16,0,0,57*,,296,0,44,2018-2022
303427,-5.29,21-Mar,28.65,33.95,28,0,1,115*,,3181,0,20,2009-2022
961407,11.69,17-Feb,22.29,10.6,31,0,0,64*,,914,0,5,2019-2023
928057,,,21.87,,39,,0,84,,875,4,,2016-2022
8917,-4.32,24-Mar,22.69,27.02,15,0,0,72*,,1044,0,40,2014-2022
669855,-7.5,Apr-33,19,26.5,4,0,0,18*,,19,0,14,2019-2021
8608,-29.66,23-Mar,1,30.66,3,0,0,1*,,1,0,18,2007-2009
297433,,,27.85,,45,,0,90,,1337,1,,2011-2022
297628,,,17.07,,17,,0,87,,478,2,,2015-2022
10617,-15.56,24-Apr,7.37,22.93,21,0,0,18*,,118,0,65,2006-2014
911707,,,26.57,,10,,0,81*,,372,0,,2022-2022
308967,,,34.69,,56,,1,101*,,2602,10,,2011-2022
662973,-9.6,10-May,12.15,21.75,12,1,0,24,,158,0,41,2019-2022
211855,-26.08,27-Mar,14.25,40.33,2,0,0,34,,57,0,6,2016-2022
521637,,,40.33,,4,,0,70*,,242,0,,2019-2022
364788,,,,,1,,,,,,0,,2019-2019
249866,,,30.95,,39,,1,116*,,2074,0,,2011-2022
897549,,,20,,0,,0,40,,40,0,,2022-2022
288992,-11.99,6-Apr,15.07,27.06,42,0,0,36,,422,0,95,2014-2022
643885,-49.52,Mar-33,7.33,56.85,2,0,0,7*,,22,0,7,2019-2022
403902,-4.73,17-Mar,22.26,27,15,0,1,103,,423,0,15,2017-2022
232438,,,30,,0,,0,30,,30,0,,2023-2023
495964,4.58,13-Mar,25.94,21.35,29,0,0,57*,,882,0,39,2018-2023
293831,,,14.51,,27,,0,48,,682,2,,2008-2022
