id,bbad,bbi,bta,bwa,ct,fw,hn,hs,pr,rn,st,wk,sp
681305,-15.23,May-34,15.12,30.36,13,4,0,59,,363,0,91,2016-2022
568276,,,50.9,,10,,9,151,,2545,0,,2017-2023
716733,-27.83,Jan-50,33.16,61,6,0,0,41*,,199,0,2,2020-2022
1205559,,,3.33,,4,,0,6,,10,2,,2022-2022
1158100,-17.91,26-May,23.5,41.41,2,1,0,28,,47,0,12,2019-2023
348148,-11.17,19-Apr,16.5,27.67,10,0,0,53,,264,0,37,2016-2023
323389,,,32.81,,44,,2,115,,1247,1,,2015-2023
1185538,-15.74,Apr-36,10.2,25.94,1,0,0,17*,,51,0,18,2022-2023
1158088,-9.55,May-33,3,12.55,1,2,0,3,,3,0,18,2022-2023
398438,,-,17.2,,2,0,0,32,,86,0,0,2020-2020
1125976,,-,9,,0,0,0,9,,9,0,0,2022-2022
694211,-64.83,Mar-66,6.5,71.33,3,0,0,10,,13,0,3,2022-2022
26421,-17.05,25-Apr,16.44,33.49,30,0,0,65,,707,0,151,2010-2022
625383,-17.59,19-Jun,6.71,24.3,17,2,0,14*,,47,0,121,2016-2022
430246,-18.57,Jun-42,8.55,27.13,16,2,0,18*,,77,0,121,2016-2023
447261,3.27,27-Mar,33.83,30.56,1,0,0,69*,,203,0,16,2018-2022
1060380,,,19,,0,,0,19,,19,0,,2022-2022
28235,,,44.11,,83,,17,143,,6793,0,,2010-2022
497121,-14.16,6-Jan,25.5,39.66,3,0,0,33,,153,0,3,2022-2022
720471,,,46.09,,5,,1,210,,507,2,,2021-2023
642519,,-,46.6,,16,0,2,113*,,1631,0,0,2017-2023
851403,,-,12,,0,0,0,22,,24,0,0,2022-2022
234675,-4.73,May-36,32.62,37.36,63,1,0,87,,2447,0,189,2009-2022
30045,,,30.2,,64,,0,79,,1752,7,,2004-2019
253802,-108.55,15-Jan,57.69,166.25,141,0,46,183,,12809,0,4,2008-2023
559235,-15.27,25-Jun,12.16,27.43,11,1,0,19,,146,0,130,2017-2023
326016,-20.95,May-42,14.15,35.11,29,1,0,53*,,552,0,141,2012-2022
481896,-17.31,May-69,8.63,25.95,29,1,0,25,,190,0,159,2013-2023
940973,-13.98,Apr-32,6.75,20.73,4,0,0,9,,27,0,38,2019-2023
931581,,,34.6,,26,,1,125*,,865,1,,2018-2022
236489,36.66,5-Jan,53.66,17,7,0,3,134,,644,0,1,2019-2023
464626,-35.53,23-Feb,22.66,58.2,4,0,0,32,,68,0,5,2018-2022
24598,,,39.29,,87,,14,148,,7701,0,,2006-2022
653695,,28-Feb,,40.6,1,0,0,7*,,7,0,5,2020-2021
1027781,,-,,,0,0,0,3*,,3,0,0,2022-2022
244497,-14.53,27-May,18.5,33.03,39,2,0,69,,703,0,175,2009-2023
298438,,,39.57,,43,,11,180,,4116,0,,2015-2023
